t,open,high,low,close,volume
1753010700000,117899.9,117914.7,117848,117876,373658.877613563
1753010400000,117928.5,118036,117850,117899.5,979938.397411901
1753010100000,117919.8,117928.5,117906.1,117928.4,301699.367697015
1753009800000,117922,117928.5,117864.1,117919.8,891653.582421442
1753009500000,117955.1,117955.1,117922,117922,216006.777160282
1753009200000,117898,117955.2,117892.3,117955.1,674915.803214282
1753008900000,117890.1,117907.9,117888,117898.1,820765.919657885
1753008600000,117931.8,117950.3,117880.4,117890.1,271584.602499022
1753008300000,117972.4,117972.4,117878,117931.8,736936.340675316
1753008000000,117985.9,117986.1,117956,117972.3,232679.893723583
1753007700000,118004,118004,117974.3,117986,243382.320714309
1753007400000,117969.9,118004,117958.5,118003.9,517796.3756316
1753007100000,117954.1,117997.7,117954,117970,817237.536177957
1753006800000,117950,117968,117916.1,117954,1620370.610291983
1753006500000,117944.6,117986.1,117944.6,117950,1173685.872740256
1753006200000,117926.5,117950,117916.3,117944.7,253043.808909066
1753005900000,117969.8,117994,117888,117926.5,743291.555989402
1753005600000,117916,117998,117905,117969.7,529457.500929987
1753005300000,118000.1,118021,117890.9,117920,1377339.315981224
1753005000000,118036.8,118052.9,118000,118000.1,328384.628403103
1753004700000,118083.4,118102,118025.3,118036.8,742177.035501343
1753004400000,118113.8,118113.8,118066.8,118083.5,683301.876842819
1753004100000,118087.4,118117.5,118087.4,118113.7,403048.170047395
1753003800000,118004,118087.5,118004,118087.5,741735.379617091
1753003500000,118064,118091.6,117988.4,118003.9,2754637.55668401
1753003200000,118152.2,118152.2,118048,118063.9,956833.250386262
1753002900000,117980,118191.1,117979.9,118152.3,14120885.036270451
1753002600000,118084,118084,117979.9,117979.9,3763880.74079073
1753002300000,118216.9,118216.9,118034.6,118084,1991641.833051462
1753002000000,118162.8,118287,118162.8,118216.9,1901829.699880396
1753001700000,118169.1,118180.7,118107.2,118162.9,1351153.707358521
1753001400000,118177.9,118217.9,118105.6,118169.1,1780500.057051128
1753001100000,118168,118244,118134.1,118178,2057030.918741589
1753000800000,118221,118253.5,118100.4,118167.9,3057181.139291125
1753000500000,118156,118221,118144.6,118221,456124.348651971
1753000200000,118175.9,118176,118145,118155.9,875739.441543761
1752999900000,118168,118176,118115,118175.9,651334.994971573
1752999600000,118204,118209.9,118151.9,118168.1,1196437.194865238
1752999300000,118249.9,118253.4,118200,118204,1517314.610502368
1752999000000,118239.9,118250,118215.8,118249.9,777896.643605509
1752998700000,118216,118240,118172.2,118240,889920.87176565
1752998400000,118017.7,118224.1,118017.7,118216,2670024.288830044
1752998100000,118033.9,118034,117988.1,118017.8,508418.055371905
1752997800000,118120,118128,118021.9,118034,1750113.882611572
1752997500000,118217.8,118218.3,118120,118120.1,3573069.560789913
1752997200000,118035.9,118217.7,118003.6,118217.7,1121365.992498058
1752996900000,118093.4,118093.5,118016,118036,663806.729489071
1752996600000,118065.8,118100,118037.2,118093.5,871894.239360988
1752996300000,117945.9,118065.9,117928,118065.8,1643890.514364699
1752996000000,117906.8,117945.9,117906.7,117945.9,303452.055864372
1752995700000,117849.9,117916,117849.9,117906.8,435609.159402376
1752995400000,117857.7,117857.7,117838.9,117850,261519.35138476
1752995100000,117842,117882,117842,117857.8,219571.384441045
1752994800000,117822,117883.4,117821.9,117842.1,351003.123610468
1752994500000,117879.4,117879.4,117806.6,117822,733991.391603087
1752994200000,117874,117893.7,117873.9,117879.3,402985.300229741
1752993900000,117843,117875.9,117843,117873.9,250860.299555007
1752993600000,117795.4,117843.1,117795.4,117843.1,267806.269287657
1752993300000,117811.9,117832,117795.4,117795.5,427741.69271776
1752993000000,117820.6,117820.7,117794,117812,411910.296250525
1752992700000,117819.8,117868,117812,117820.7,802433.526831506
1752992400000,117784.3,117819.9,117756.7,117819.8,358672.727117816
1752992100000,117770,117812.8,117766,117784.3,297960.669889054
1752991800000,117818.6,117819.9,117770,117770,1412876.070038015
1752991500000,117829.9,117829.9,117815,117818.5,336380.349777209
1752991200000,117846,117848,117820.4,117830,1189509.00111527
1752990900000,117877.7,117894,117836,117846,844271.321605499
1752990600000,117924,117924,117836.9,117877.7,1104713.97733252
1752990300000,117898.9,117924,117898.9,117923.9,270677.580121252
1752990000000,117887.9,117924,117849.7,117898.9,1169670.582520925
1752989700000,117839.8,117888,117839.8,117887.9,213313.976638841
1752989400000,117822,117838.9,117816.2,117838.9,267966.399943891
1752989100000,117809.9,117836,117793.8,117822,1180932.444751857
1752988800000,117871.9,117871.9,117802.2,117809.9,1342391.474017079
1752988500000,117894.1,117912.3,117869.2,117872,344313.624232802
